name,mainOfficeLocation,countiesServed,servicesOffered,contactInformation,website
Abilities Network,Towson,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Charles, Carroll, Frederick, Garrett, Harford, Howard, Montgomery, Prince George's, St. Mary's, Washington","Supported Employment, Family Support Services, Individual Support Services, Personal Support Services","410.828.7700
1.800.492.2523 (Toll Free)
lkingham@abilitiesnetwork.org",http://www.abilitiesnetwork.org/
ACIDD Maryland,Laurel,"Anne Arundel, Baltimore City, Baltimore, Calvert, Carroll, Howard, Montgomery, Prince George's","Supported Employment, Vocational Day Program, Residential Services","301.377.0750
1.844.ACCID.US (Toll Free)
301.377.7912 (TTY)
info@aciddmaryland.com",http://www.aciddmaryland.com/
The Arc of Montgomery County,Rockville,Montgomery ,"Family Support Services, Supported Employment, Vocational Day Program/Sheltered Workshop, Day Habilitation Program, Resource Coordination, Individual Support Services, Individual Family Care, Respite Care, Personal Support Services, residential services, Behavioral Support Services","301.984.5777
866.756.2941 (Toll Free)
301.881.1548 (TTY)
joycet@arcmontmd.org",http://www.thearcofmontgomery.org/
"The Arc of Prince George's County, Inc.",Largo,Prince George's ,"Supported Employment, Day Habilitation Program, Residential Services, Family Support Services, Individual Support Services, Personal Support Services, Vocational Day Program, Respite Care, and Low Intensity Support Services","301.925.7050
info@thearcofpgc.org",http://www.thearcofpgc.org/
"The Arc of Southern Maryland, Inc.",Prince Frederick,"Calvert, Charles, St. Mary's ","Supported Employment, Day Habilitation Program, Family Support Services, Individual Support Services, Residential, Vocational Day Program/Sheltered Workshop, Personal Support Services, Behavioral Support Services, Transportation","410.535.2413
h.yaffe@arcsomd.org",http://www.arcsomd.org/
"Ardmore Enterprises, Inc.",Mitchellville,"Prince George's, Montgomery, and Washington D.C..","Supported Employment, Day Habilitation Program, Residential Services, Individual Support Services, Respite Care, Vocational Day Program","301.306.2560
dlovelace@ardmoreenterprises.org",http://www.ardmoreenterprises.org/
"Bay Community Support Services, Inc.",Edgewater,"Anne Arundel, Baltimore City, Baltimore, Calvert, Charles, St. Mary's, Montgomery  and Prince George's ","Supported Employment, Residential, Family Support Services, Individual Support Services, Personal Support Services, Respite Care","410.224.4205
baycssinfo@baycss.org",http://www.baycss.org/
Benedictine Adult Services,Ridgely,"Anne Arundel, Caroline, Dorchester, Kent, Queen Anne's, Talbot, Washington D.C..","Residential Services, Day Habilitation Program, Individual Support Services, Personal Support Services, Supported Employment, Family Support Services","410.634.1990
mdocp@benschool.org",http://www.benschool.org/
The Brotherhood And Sisterhood International,Silver Spring,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Montgomery, Prince George's, Kent, Queen Anne's, St. Mary's, Somerset, Talbot, Washington, Wicomico, Worcester Counties, and Washington D. C.","Family Support Services, Individual Support Services, Personal Support Services, Residential Services, Respite Services, Behavioral Support Services","301.593.0957
Abrahamlincoln33@aol.com
CKennk@aol.com",
"CALMRA, Inc.",Beltsville,"Montgomery, Prince George's ","Residential Services, Habilitation Program, Individual Support Services, Personal Support Services","301.982.7177
301.982.7804 (TTY)
ntolbert@calmra.org",http://www.calmra.org/
Calvert County Office Of Aging,Prince Frederick,Calvert ,Individual Support Services,"410.535.4606
301.855.1170
ooa@co.cal.md.us",http://www.co.cal.md.us/
"Caroline Center, Inc.",Ridgely,"Caroline, Dorchester, Kent, Montgomery, Prince George's, Queen Anne's, and Talbot","Day Habilitation Program, Residential, Individual Support Services, Personal Support Services, Vocational Day Program/Sheltered Workshop, Respite Care, Supported Employment","1.800.863.2102
info@carolinecenterinc.org",http://www.carolinecenterinc.net/
Community Based Alternatives and Initiatives (CBAI),Baltimore,"Anne Arundel, Baltimore City, Baltimore, Harford, Howard, and Prince George's","Supported Employment, Vocational Day/Sheltered Workshop, Day Habilitation Program, Personal Support Services, Behavioral Support Services, Residential Services, Respite Care","443.780.1300
rmyrtle@ncianet.org",http://www.ncianet.org/
"Community Options, Inc.",Rockville,"Anne Arundel, Baltimore City, Baltimore, Prince George's, Calvert, Frederick, Harford, Queen Anne's, and Montgomery","Supported Employment, Vocational Day Program, Day Habiliation Program, Individual Support Services, Personal Supports, Residential Services, Respite., Residential Services, Respite","609.951.9900
Kim.Herndon@comop.org",http://www.comop.org/
The Center For Life Enrichment,Hollywood,"Calvert, Charles, St. Mary's","Supported Employment, Day Habilitation Program, Vocational Day Program/Sheltered Workshop, Family Support Services, Individual Support Services, Respite Care","301.373.8100
contact@tcle.org",http://www.tcle.org/
